UPRN,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE
22222367,531173.0,104194.0,50.8224327,-0.1390568
22222443,531561.0,104926.0,50.8289238,-0.133289
22222506,526019.42,105090.35,50.8316324,-0.2118766
22222507,531142.0,104544.0,50.8255855,-0.1393716
22222525,533726.0,105649.0,50.8349264,-0.1023022
22222535,530325.0,104156.0,50.8222824,-0.1511029
22222556,530780.0,105903.0,50.8378819,-0.1440242
22222568,529906.0,104480.0,50.8252885,-0.1569335
22222569,529884.0,104485.0,50.8253384,-0.1572439
22222572,529727.0,104512.0,50.8256162,-0.1594622
22222573,529721.0,104513.0,50.8256265,-0.159547
22222583,529194.0,104658.0,50.8270475,-0.1669742
22222585,529137.0,104670.0,50.8271681,-0.1677789
22222586,529033.0,104730.0,50.8277305,-0.1692336
22222587,528868.0,104716.0,50.8276414,-0.1715801
22222589,528446.0,104796.0,50.8284541,-0.1775407
22222594,533860.0,103809.0,50.8183583,-0.1010715
22222663,531226.0,104571.0,50.8258091,-0.13817
22222818,534175.0,104270.0,50.8224287,-0.0964339
22222821,531937.0,107014.0,50.8476048,-0.1272023
22223139,533328.0,107557.0,50.8521665,-0.1072573
22223140,533330.0,107550.0,50.8521031,-0.1072314
22223142,533331.0,107522.0,50.8518512,-0.1072274
